"Step","mac_fw1b_l12_baseline_s1337:train - train/loss","mac_fw1b_l12_baseline_s1337:train - train/loss__MIN","mac_fw1b_l12_baseline_s1337:train - train/loss__MAX"
"10","11.234375","11.234375","11.234375"
"20","11.09375","11.09375","11.09375"
"30","10.765625","10.765625","10.765625"
"40","10.015625","10.015625","10.015625"
"50","9.28125","9.28125","9.28125"
"60","8.90625","8.90625","8.90625"
"70","8.578125","8.578125","8.578125"
"80","8.453125","8.453125","8.453125"
"90","8.25","8.25","8.25"
"100","8.25","8.25","8.25"
"110","7.9375","7.9375","7.9375"
"120","7.8984375","7.8984375","7.8984375"
"130","7.75","7.75","7.75"
"140","7.65625","7.65625","7.65625"
"150","7.6171875","7.6171875","7.6171875"
"160","7.4375","7.4375","7.4375"
"170","7.4921875","7.4921875","7.4921875"
"180","7.234375","7.234375","7.234375"
"190","7.3203125","7.3203125","7.3203125"
"200","7.171875","7.171875","7.171875"
"210","7.4296875","7.4296875","7.4296875"
"220","7.0546875","7.0546875","7.0546875"
"230","7.0625","7.0625","7.0625"
"240","7.125","7.125","7.125"
"250","6.9296875","6.9296875","6.9296875"
"260","7.015625","7.015625","7.015625"
"270","7.125","7.125","7.125"
"280","7.03125","7.03125","7.03125"
"290","6.7578125","6.7578125","6.7578125"
"300","6.6640625","6.6640625","6.6640625"
"310","6.921875","6.921875","6.921875"
"320","6.7109375","6.7109375","6.7109375"
"330","6.7265625","6.7265625","6.7265625"
"340","6.484375","6.484375","6.484375"
"350","6.640625","6.640625","6.640625"
"360","6.7890625","6.7890625","6.7890625"
"370","6.625","6.625","6.625"
"380","6.71875","6.71875","6.71875"
"390","6.625","6.625","6.625"
"400","6.6015625","6.6015625","6.6015625"
"410","6.4375","6.4375","6.4375"
"420","6.40625","6.40625","6.40625"
"430","6.484375","6.484375","6.484375"
"440","6.40625","6.40625","6.40625"
"450","6.4140625","6.4140625","6.4140625"
"460","6.53125","6.53125","6.53125"
"470","6.4453125","6.4453125","6.4453125"
"480","6.4375","6.4375","6.4375"
"490","6.4296875","6.4296875","6.4296875"
"500","6.2890625","6.2890625","6.2890625"
"510","6.40625","6.40625","6.40625"
"520","6.421875","6.421875","6.421875"
"530","6.125","6.125","6.125"
"540","6.359375","6.359375","6.359375"
